Title	x	y
A -73.784354 40.979927
A -73.784622 40.979749
A -73.784971 40.97961
A -73.785272 40.979457
A -73.785635 40.979337
A -73.785847 40.979152
A -73.786243 40.979123
A -73.786436 40.979329
A -73.786544 40.979582
A -73.786695 40.979845
A -73.786813 40.980098
A -73.786883 40.980357
A -73.786954 40.980699
A -73.786549 40.980784
A -73.786111 40.980716
A -73.786304 40.980379
A -73.786323 40.980098
A -73.786186 40.979831
A -73.785984 40.979489
A -73.785503 40.979738
A -73.785753 40.979973
A -73.785739 40.980194
A -73.785612 40.980485
A -73.785555 40.980827
A -73.785239 40.98094
A -73.784924 40.981001
A -73.784509 40.981108
A -73.784151 40.981147
A -73.787475 40.980831
A -73.787382 40.980522
A -73.787233 40.980176
A -73.787103 40.979857
A -73.786954 40.979506
A -73.786756 40.979118
A -73.786421 40.978786
A -73.786012 40.978688
A -73.785554 40.978823
A -73.785157 40.979039
A -73.784624 40.979347
A -73.786488 40.978295
A -73.787011 40.978104
A -73.787227 40.978431
A -73.787408 40.978758
A -73.787543 40.979017
A -73.787778 40.979344
A -73.787859 40.979766
A -73.787904 40.980202
A -73.788331 40.980154
A -73.788779 40.980171
A -73.788914 40.980171
A -73.789168 40.980018
A -73.789048 40.979719
A -73.788989 40.97938
A -73.789004 40.979008
A -73.789056 40.978658
A -73.789048 40.978342
A -73.788974 40.977946
A -73.788779 40.97767
A -73.788518 40.977342
A -73.788443 40.97973
A -73.78866 40.978912
A -73.788652 40.97855
A -73.788577 40.978155
A -73.788346 40.977822
A -73.788129 40.977568
A -73.787613 40.977833
A -73.787673 40.978246
A -73.787815 40.97859
A -73.788017 40.978968
A -73.788293 40.979236
A -73.790362 40.980496
A -73.790349 40.980139
A -73.790375 40.979856
A -73.790388 40.979594
A -73.790408 40.979261
A -73.790388 40.978984
A -73.790368 40.978805
A -73.790336 40.978602
A -73.790362 40.978414
A -73.790303 40.978216
A -73.79027 40.978032
A -73.789909 40.980079
A -73.789922 40.979861
A -73.789935 40.979618
A -73.789896 40.97943
A -73.789902 40.979152
A -73.789883 40.978825
A -73.789876 40.978865
A -73.789909 40.978607
A -73.789837 40.978404
A -73.789856 40.978176
A -73.789843 40.977983
A -73.78981 40.977715
A -73.789423 40.977507
A -73.789134 40.977075
A -73.779831 40.981511
A -73.780169 40.981511
A -73.780401 40.981357
A -73.780623 40.981196
A -73.780801 40.981001
A -73.781139 40.980827
A -73.78129 40.980619
A -73.780961 40.980323
A -73.78073 40.980538
A -73.780472 40.980672
A -73.780321 40.980827
A -73.78008 40.980981
A -73.77984 40.981135
A -73.779591 40.981256
A -73.77936 40.981357
A -73.779058 40.981471
A -73.778773 40.981572
A -73.778578 40.981679
A -73.778355 40.981793
A -73.778097 40.981948
A -73.777848 40.982069
A -73.777982 40.982337
A -73.777608 40.982391
A -73.781775 40.980236
A -73.782054 40.98005
A -73.782258 40.979936
A -73.782541 40.979838
A -73.782693 40.97969
A -73.782968 40.979552
A -73.783188 40.979386
A -73.78342 40.979229
A -73.783231 40.978818
A -73.782907 40.978934
A -73.782669 40.979026
A -73.782504 40.979146
A -73.782296 40.979275
A -73.782052 40.979399
A -73.781826 40.979542
