occupation	latitude	longitude	zipcode
Rock_City_Grocery	C	43.044751	-74.848957	13365

Top_Dog_Grooming	B	43.073582	-75.321534	13413

Schilling_George_J_Md_Pc	A	43.014218	-75.03767	13357

Sunoco	C	43.240521	-75.438101	13440

Donald_Knapp	A	43.027551	-74.979531	13350

CITGO	C	43.053244	-75.272131	13413

Bremer's_Wine_and_Liquor	C	43.089249	-75.310704	13413

St_Paul's_Roman_Catholic_Church	A	43.236132	-75.446887	13440

Ilion_Fire_Department	A	43.015673	-75.036124	13357

Verona_Fire_Department_Station_2	A	43.099669	-75.636016	13421

Savicki's_Paris_Hill_Farm_Market	C	43.022882	-75.328135	13323

The_Cashman	C	43.213856	-75.464747	13440

Uwah_Daniel_N_MD	A	43.092694	-75.312863	13413

Designs_By_Shelly	C	43.044582	-74.856745	13365

St_Elizabeths_Medical_Arts	A	43.080405	-75.335353	13413

Marquee_Cinemas	A	43.092687	-75.314293	13413

Adirondack_Chiropractic	A	43.097279	-75.296863	13417

T_P_Brake_&_Muffler	C	43.213589	-75.454271	13440

SmartStyle_Family_Hair_Salons	B	43.021504	-74.997153	13350

ElderChoice	B	43.054315	-75.279202	13413

Gary's_Auto_Parts	D	43.089854	-75.671808	13421

Enea_Family_Funeral_Home	B	43.026596	-75.056718	13357

State_Farm	C	43.073766	-75.293629	13413

Specialty_Auto_Sales	C	43.17124	-75.478432	13440

LabCorp	A	43.084279	-75.327531	13413

H&R_Block	A	43.080005	-75.643126	13421

Trek_Store_of_New_Hartford	C	43.083924	-75.327596	13413

Franco's_Pizzeria	B	43.015909	-75.036365	13357

OneMain_Financial	A	43.087866	-75.31099	13413

Canal_Side_Inn_Restaurant	B	43.040428	-74.858715	13365

Circle_K	C	43.09654	-75.62364	13421

Linsey_Layne_Boutique	C	43.073162	-75.289363	13413

Ray's_Svce	C	43.095468	-75.623448	13421

Dream_City_Mattress	C	43.088706	-75.311531	13413

All_State_Professional_CAD_Service	B	43.062023	-75.224919	13413

Furino_Anthony_J_DDS_MSD	A	43.072562	-75.289314	13413

BHA_Rabbitry	C	43.002029	-75.193685	13340

St_Elizabeth_Health_Support_Services	B	43.051204	-75.273686	13413

Transitions_Studio	B	43.236565	-75.436898	13440

FootDoctors	A	43.025074	-74.987526	13350

Planet_Fitness	B	43.076713	-75.644069	13421

Holt_John_E_Rev	A	43.073139	-75.294661	13413

Doggone_Lovely	B	43.205768	-75.450236	13440

M&T_Bank	C	43.077421	-75.292595	13413

Central_Oneida_County_Volunteer_Ambulance_Corps	E	43.093376	-75.391358	13323

The_Knight_Spot	B	43.035155	-75.066767	13340

Dave's_Clip_Joint	B	43.112666	-75.28454	13417

Brigitte_Hair_&_Tanning_Salon	B	43.075936	-75.689883	13421

Heartsome_Handicrafts	C	43.077034	-75.29735	13413

The_UPS_Store	C	43.231037	-75.437524	13440

Target	C	43.083727	-75.315974	13413

United_States_Postal_Service_(USPS)	C	43.025824	-74.9881	13350

New_Hartford_Eye_Associates	A	43.082689	-75.330175	13413

Village_Floral	C	43.073209	-75.287506	13413

Hess	C	43.235437	-75.4357	13440

KeyBank	C	43.055268	-75.277467	13413

China_House	B	43.215858	-75.45314	13440

Anken_Stuart_W_Dr_Chiropractor	A	43.24283	-75.455593	13440

Arby's	B	43.213742	-75.451711	13440

Pandora	C	43.082278	-75.315525	13413

Ace_Auto_Repair	D	43.225553	-75.489367	13440

Serendipity_Hair_Salon	B	43.07475	-75.287289	13413

Tehan_Shopping_Center	C	43.087499	-75.315321	13413

Tucker_Backyard_Pools_&_Spas	C	43.094291	-75.305523	13413

Coughlin_Giambrone	A	43.091527	-75.276669	13413

H&R_Block	A	43.039086	-74.865786	13365

Paca_Gardens	C	43.042607	-74.860796	13365

Bob's_Guitar_&_Piano_Instruction	C	43.073371	-75.289042	13413

Wilbert_Mitchell_W_DDS	A	43.217507	-75.448023	13440

The_Palisades_Hotel	B	43.239459	-75.437202	13440

Roma_Sausage	B	43.052577	-75.272338	13413

Paint_and_Paste	C	43.035522	-75.072823	13340

Brookdale	B	43.037682	-75.358621	13323

Kelley's_Lip_Smackin'_Best	C	43.016582	-75.035237	13357

Dans_Auto_repair	D	43.026319	-74.883489	13365

First_United_Methodist_Church	A	43.216337	-75.457832	13440

Best_Food_Chinese_and_Pizza	B	43.208968	-75.4533	13440

Alvarez_Leslie_C	A	43.090272	-75.649601	13421

Universalist_Church	A	43.043178	-74.856995	13365

Tractor_Supply_Co.	C	43.075532	-75.690884	13421

Linderman_Linnea_P_MD	A	43.212219	-75.457962	13440

WellNow_Urgent_Care	A	43.210697	-75.458004	13440

Wilcor_International	C	43.085404	-75.119717	13340

Jean_Burgdorf_Piano_Lessons	C	43.237831	-75.456264	13440

Tom_Cavallo's_Restaurant_&_Banquet_Facility	B	43.073562	-75.288194	13413

Riverside_Park	B	43.215325	-75.434489	13440

The_Finery	A	43.204151	-75.433033	13440

Paw_Prints_Pet_Boarding	B	43.036492	-75.077284	13340

Clinton_Pet_Vet	A	43.039885	-75.391537	13323

Brick_House_Acres	D	43.000732	-75.192752	13340

Hot_Topic	C	43.077277	-75.308919	13413

Zambri's_Motorsports	C	43.013654	-74.768879	13365

Norman's_Roofing_&_Siding	D	42.999687	-75.049083	13357

Giovanni's_Pizzeria	B	43.049762	-75.377762	13323

Lizzy's_Cupcakery_&_Candies	E	43.078157	-75.295307	13413

Joe's_Pizza_&_Sauce	B	43.094503	-75.643259	13421

Blaze_Pizza	B	43.093849	-75.307588	13413

Greg_Morra_Ameriprise_Financial_Services	A	43.071588	-75.293752	13413

KeyBank	C	43.048032	-75.381877	13323

Le_Thang_Q_MD	A	43.093127	-75.279193	13413

Life_In_Christ_Family_Church	A	43.062384	-75.366936	13323

Giuffrida_LaShawnda_Rpa_C	A	43.231111	-75.443406	13440

W_F_Prior_Elementary_School	A	43.090557	-75.646088	13421

Ferdula_Landscape_Supply	C	43.041988	-75.064274	13340

Lee_Town_Park	B	43.289591	-75.475936	13440

Robert_E_Schulman_DDS	A	43.072269	-75.289183	13413

Frankfort_Highland_Airport	E	43.016256	-75.169835	13340

