category	latitude	longitude
U	43.115915	-75.210361
SR	43.112413	-75.18335
CC	43.082525	-75.268683
K	43.10705	-75.222781
K	43.109852	-75.262044
ER	43.135523	-75.230096
K	43.098237	-75.235238
K	43.099922	-75.23481
K	43.089637	-75.198717
CC	43.091075	-75.258096
M	43.097179	-75.237088
CC	43.09316	-75.241357
ST	43.098622	-75.250396
CC	43.086664	-75.257225
SR	43.096854	-75.251563
ST	43.102661	-75.233629
SR	43.102351	-75.254201
CC	43.094452	-75.286619
SR	43.084972	-75.265433
CC	43.091068	-75.258076
ST	43.135529	-75.218615
CC	43.096764	-75.276144
SR	43.096042	-75.247383
ER	43.094112	-75.252984
K	43.115758	-75.21005
CC	43.096743	-75.276132
K	43.100037	-75.233263
ST	43.089186	-75.221034
K	43.092078	-75.221126
SR	43.089938	-75.265094
V	43.096689	-75.242396
M	43.08908	-75.223283
SR	43.093178	-75.260739
ER	43.115127	-75.170681
CC	43.096735	-75.276118
R	43.102255	-75.241454
R	43.075967	-75.281579
K	43.09574	-75.241848
ST	43.104186	-75.222516
V	43.097332	-75.215366
K	43.103228	-75.228665
ST	43.098024	-75.206859
SR	43.088469	-75.256861
M	43.084161	-75.265506
ER	43.098266	-75.20815
K	43.091022	-75.222295
ST	43.092565	-75.228721
AS	43.107491	-75.222421
CC	43.102539	-75.23907
CC	43.085934	-75.263355
G	43.100289	-75.214292
ST	43.103675	-75.162359
ST	43.091485	-75.22309
ST	43.087813	-75.257664
K	43.080489	-75.207149
M	43.101081	-75.232382
CC	43.117081	-75.210731
CC	43.091202	-75.187939
SR	43.109188	-75.260736
ER	43.096266	-75.14189
K	43.093688	-75.236489
K	43.089613	-75.222026
ST	43.085601	-75.279833
ST	43.112243	-75.261775
CC	43.092099	-75.284603
CC	43.082193	-75.267227
SR	43.099666	-75.247041
SR	43.077171	-75.280724
SR	43.101688	-75.220893
ST	43.105012	-75.215045
X	43.103151	-75.226127
CC	43.09377	-75.28098
G	43.106688	-75.215805
SR	43.132446	-75.221037
R	43.091476	-75.223083
ST	43.114286	-75.209198
CC	43.097803	-75.220782
ER	43.10218	-75.243285
G	43.084691	-75.282256
K	43.101476	-75.230601
ST	43.097617	-75.237929
K	43.099995	-75.240431
CC	43.093165	-75.241435
R	43.091047	-75.278951
CC	43.093684	-75.240954
SR	43.087123	-75.228973
CC	43.083728	-75.271064
K	43.077542	-75.280001
ST	43.081968	-75.271209
SR	43.093718	-75.193279
M	43.103184	-75.228266
ST	43.098602	-75.151171
SR	43.104353	-75.249171
K	43.096045	-75.21162
ST	43.086637	-75.257991
U	43.087165	-75.250342
ER	43.087836	-75.196258
M	43.112398	-75.214675
K	43.098192	-75.218114
U	43.101667	-75.229903
R	43.087734	-75.260021
K	43.109858	-75.217886
CC	43.081017	-75.205956
ST	43.108914	-75.250256
K	43.098302	-75.251464
ST	43.102983	-75.241616
WT	43.100488	-75.153632
U	43.077099	-75.279821
CC	43.105004	-75.271959
CC	43.081332	-75.270856
CC	43.116022	-75.208945
ST	43.126604	-75.2262
R	43.124838	-75.234274
MF	43.103833	-75.243245
K	43.08509	-75.28036
V	43.096535	-75.231135
ST	43.103492	-75.235627
CC	43.081555	-75.289524
SR	43.109032	-75.175993
K	43.098337	-75.233693
SR	43.112382	-75.26213
ST	43.08512	-75.28235
ER	43.08425	-75.265315
K	43.100357	-75.227936
SR	43.101217	-75.225292
ST	43.101778	-75.229563
G	43.108203	-75.217311
CC	43.077868	-75.276777
K	43.098485	-75.23774
K	43.089935	-75.258298
CC	43.083137	-75.267792
SR	43.092996	-75.246911
K	43.102545	-75.2215
CC	43.081734	-75.270195
ST	43.09763	-75.210367
