occupation	latitude	longitude	zipcode
Congregation_Agudat_Achim	A	42.795213	-73.884033
Golden_Grain_Gourmet_Pizza	B	42.717395	-73.813001
Mobil	C	42.815848	-73.892236
Auto_Doctor	D	42.788297	-73.94508
Cafe_Calabria	B	42.688502	-73.861653
Dunkin'	B	42.756476	-73.758538
J_P's_Trains_&_Hobbies	C	42.742933	-73.74187
Famous_Footwear	C	42.69028	-73.851786
Aspen_Dental	A	42.684423	-73.794058
Caroline_E_Caputo_Integrative_Health_&_Venus_Legacy	B	42.751031	-73.758551
Cardiology_Associates_of_Schenectady	A	42.830745	-73.891035
Kennedy_Debbie_A_MD	A	42.685401	-73.838963
Family_Dollar_Stores	C	42.791831	-73.915985
Skyloft	B	42.68923	-73.849781
Sunoco	C	42.757823	-73.758194
S&amp_G_Roofing	D	42.766451	-73.887722
American_Red_Cross	A	42.68928	-73.777657
Albany_Advanced_Imaging	A	42.688472	-73.775559
Albany_Regional_Eye_Surgery_Center	A	42.761846	-73.749141
OrthoNY	A	42.693911	-73.771915
Kingsway_Village	B	42.774968	-73.916905
Price_Chopper_New_England	C	42.765215	-73.700507
Niskayuna_Fire_District_1	A	42.828913	-73.887833
Calvary_Tabernacle_Assembly_of_God	A	42.787452	-73.916399
GameStop	C	42.782547	-73.942727
Bumble_B_Boutique	C	42.727786	-73.761191
Spauldings_Tattoo_World	B	42.717179	-73.831828
T-Mobile	C	42.746554	-73.763213
GNC_(General_Nutrition_Centers)	A	42.774784	-73.892988
United_Methodist_Church	A	42.724784	-73.701739
Lubbe_&_Hosey_Cpa's_PC	A	42.74238	-73.838499
Blush_Salon	B	42.747894	-73.758467
Royal_Fried_Chicken	B	42.800071	-73.928316
Mr_Subb	B	42.696875	-73.883808
Wendy's	B	42.783008	-73.948385
Capital_Region_Otolaryngology_Head_&_Neck_Group	A	42.686625	-73.841376
Price_Chopper_New_England	C	42.776171	-73.892591
Aéropostale	C	42.711082	-73.816137
Daves_moving_&_Junk_Removal	E	42.7944	-73.917519
Barnes_and_Noble	C	42.710998	-73.816009
Spektor_Boris_MD	A	42.772736	-73.750542
Town_of_Guilderland	B	42.717543	-73.935795
Shalimar	B	42.761914	-73.796345
The_Revolution	B	42.677477	-73.827208
JT_Maxies_Bar_&_Grill	B	42.726133	-73.797325
GE_Renewables_Training_Center	A	42.837011	-73.891616
Ambiance_Salon_&_Spa	B	42.753139	-73.764708
Subway	B	42.689711	-73.865855
Sasa_Mirkovic_Ameriprise_Financial_Services	A	42.715239	-73.812974
Quality_Inn	B	42.754677	-73.769505
Capital_Financial_Planning	C	42.685603	-73.842818
Fancy_Threading	A	42.735066	-73.76266
Music_To_My_Hair_Salon_&_Advanced_Academy	B	42.771203	-73.824175
D_&_M_Jerk_Center	B	42.663031	-73.775803
Sunoco	C	42.815867	-73.892867
Sunoco	C	42.729139	-73.760073
On_Tap	B	42.761153	-73.754608
Rocky_Mountain_Chocolate_Factory	C	42.683771	-73.839631
Boys_And_Girls_Clubs_Of_Schenectady_Keane_Elem_Aasp	A	42.796564	-73.924743
Subway	B	42.755414	-73.773497
Collins_Michael_K_Chiropractor	A	42.783757	-73.916773
Shedden_Andrew_MD	A	42.758337	-73.777396
Zeba_Furniture	C	42.785525	-73.910462
Canine_Clippers_&_Boutique	B	42.731957	-73.701484
New_Country_Lexus_of_Latham	C	42.77177	-73.752195
Community_Care_Physicians_Administrative_Offices	A	42.758162	-73.777362
Orangetheory_Fitness	B	42.782934	-73.890562
Dance_Me_Boutique	C	42.804979	-73.904427
Hansen_Farm_&_Nursery	D	42.747457	-73.866149
New_York_Oncology_Hematology_PC	A	42.77215	-73.753017
Stewart's_Shops	C	42.795595	-73.943416
Smokers_Choice	C	42.714233	-73.810285
Airport_Parking_by_AAA_Albany_Park_&_Fly	B	42.730452	-73.794283
Barcelona	B	42.676952	-73.82553
Pottery_Barn	C	42.688	-73.848161
TCBY	B	42.682233	-73.842252
Regal_Nails_Salon_&_Spa	B	42.746457	-73.764401
The_Doll_Factory	B	42.702092	-73.817904
CrossFit	B	42.694535	-73.818186
Zaber_Pamela_Dvm	A	42.760983	-73.791721
Jabbur_Munir_T_MD	A	42.693901	-73.771904
Zoom_Tan	B	42.735618	-73.763779
Littleminds_Daycare	A	42.743549	-73.759114
K_Plastic_Surgery	A	42.757814	-73.776786
Glenn's_Auto_Body	D	42.787996	-73.941146
Maplewood_Pathology	A	42.761055	-73.818488
Subway	B	42.715799	-73.812334
Salon_Harmony_West	B	42.780359	-73.704841
Sports_&_Spinal_Wellness_Center	A	42.697364	-73.885551
Tina's_Corner_Cafe	B	42.689277	-73.774647
Joli	B	42.70987	-73.818315
Office_Furniture_Express	C	42.702696	-73.824981
Atomic_Wings	B	42.687237	-73.858444
Residence_Inn_by_Marriott	B	42.725564	-73.795356
Empire_Wine	C	42.707038	-73.825718
Brookdale	B	42.80127	-73.897923
Stewart's_Shops	C	42.772364	-73.824539
Apicella_Edward_Dr	A	42.6855	-73.765634
Sleep_Number	C	42.688968	-73.848584
China_Max	B	42.689225	-73.84993
