category	latitude	longitude
SR	42.681841	-73.84185
CC	42.774916	-73.89293
K	42.71621	-73.809317
ST	42.68947	-73.850733
SR	42.805031	-73.906037
V	42.758155	-73.926834
R	42.72006	-73.807744
ST	42.770117	-73.891118
ST	42.706463	-73.777643
U	42.715722	-73.812002
CC	42.7916	-73.938931
SR	42.7708	-73.823315
ST	42.683676	-73.840582
CC	42.756967	-73.775176
CC	42.690823	-73.869104
ST	42.709774	-73.816479
ST	42.690127	-73.851497
R	42.721136	-73.808735
ER	42.804365	-73.857662
ER	42.708481	-73.83258
K	42.683508	-73.794695
ST	42.719658	-73.802122
ER	42.713915	-73.846224
SR	42.728212	-73.846487
M	42.75095	-73.764228
K	42.723018	-73.800196
V	42.754845	-73.942857
K	42.723767	-73.79902
CC	42.758112	-73.777234
R	42.688422	-73.778517
M	42.764913	-73.699287
MF	42.79911	-73.947431
G	42.713277	-73.707606
ST	42.664565	-73.78829
V	42.835528	-73.892858
SR	42.728772	-73.761283
MF	42.688902	-73.863079
K	42.73009	-73.758492
ER	42.751846	-73.870161
ST	42.760096	-73.768513
K	42.766297	-73.8146
WT	42.730329	-73.710503
ST	42.783603	-73.90682
WT	42.7177	-73.80451
ST	42.729298	-73.844884
K	42.729877	-73.795334
K	42.714198	-73.706153
R	42.732538	-73.84927
SR	42.802121	-73.727018
G	42.71304	-73.707122
CC	42.688143	-73.773165
CC	42.794535	-73.91961
K	42.771413	-73.892489
ST	42.688505	-73.849272
WT	42.801223	-73.728845
K	42.729015	-73.700381
ST	42.738655	-73.762691
K	42.769724	-73.892663
K	42.778249	-73.709802
M	42.703188	-73.856591
R	42.775385	-73.8337
ST	42.802912	-73.734821
CC	42.758341	-73.777469
ER	42.738091	-73.842403
CC	42.728437	-73.75965
WT	42.684896	-73.848015
K	42.73447	-73.851548
ST	42.683689	-73.840593
K	42.661872	-73.778108
SR	42.761027	-73.791737
ST	42.752978	-73.763409
ST	42.694376	-73.819534
K	42.718644	-73.805538
CC	42.683293	-73.846806
R	42.774258	-73.695947
M	42.767875	-73.890524
ER	42.724932	-73.817652
CC	42.75483	-73.774824
K	42.787665	-73.911774
CC	42.709649	-73.863104
K	42.677415	-73.826979
K	42.755116	-73.772155
K	42.684106	-73.840712
ST	42.742675	-73.796372
SR	42.732142	-73.69946
ST	42.783138	-73.891313
CC	42.788745	-73.913862
V	42.71313	-73.828217
ST	42.725515	-73.852188
CC	42.75811	-73.777241
V	42.694804	-73.887321
SR	42.804436	-73.915745
SR	42.768102	-73.910195
SR	42.706474	-73.823649
M	42.743661	-73.861357
P	42.814845	-73.890487
X	42.72291	-73.703182
K	42.774594	-73.700904
ST	42.702358	-73.813567
V	42.701557	-73.775165
R	42.711389	-73.708551
SR	42.781866	-73.952409
SR	42.789633	-73.942305
SR	42.729893	-73.760115
ST	42.77769	-73.699294
K	42.710747	-73.816206
SR	42.724525	-73.84181
CC	42.722914	-73.839499
K	42.771558	-73.823476
ST	42.733185	-73.854475
SR	42.690615	-73.778868
CC	42.746158	-73.755655
M	42.713644	-73.813421
ST	42.68494	-73.840214
AS	42.759779	-73.929864
CC	42.725791	-73.936058
SR	42.708506	-73.710054
SR	42.752175	-73.871666
U	42.783579	-73.743103
ST	42.710478	-73.815462
U	42.743299	-73.745208
ST	42.708801	-73.817183
K	42.684727	-73.850352
V	42.70361	-73.820033
SR	42.795865	-73.944528
G	42.71351	-73.706716
CC	42.688641	-73.862199
CC	42.672778	-73.812309
K	42.677339	-73.828235
U	42.755256	-73.944034
ST	42.688995	-73.863002
K	42.689695	-73.865858
K	42.690165	-73.865332
F	42.779057	-73.903198
K	42.73108	-73.847768
ST	42.685162	-73.840492
CC	42.685234	-73.838627
U	42.791331	-73.871594
SR	42.693747	-73.773099
SR	42.78931	-73.937595
U	42.783587	-73.912109
ER	42.789731	-73.945061
SR	42.682884	-73.780638
K	42.773881	-73.697937
SR	42.727508	-73.759818
K	42.714561	-73.813699
CC	42.74354	-73.759105
SR	42.679603	-73.834042
R	42.71307	-73.707136
SR	42.676547	-73.824642
ER	42.781819	-73.718636
SR	42.738019	-73.854171
R	42.750249	-73.745592
K	42.754195	-73.759719
AS	42.771056	-73.752911
WT	42.703617	-73.878735
ST	42.775638	-73.701874
ST	42.703606	-73.82749
ST	42.776694	-73.900187
CC	42.71461	-73.828919
CC	42.750717	-73.765892
K	42.728324	-73.759671
SR	42.754205	-73.761223
ER	42.783942	-73.941362
ST	42.773727	-73.891093
SR	42.788311	-73.945106
V	42.802368	-73.895852
CC	42.771808	-73.757442
SR	42.768241	-73.755042
CC	42.666151	-73.789646
K	42.726624	-73.761046
ST	42.708828	-73.8172
CC	42.6661	-73.78947
M	42.798666	-73.925386
ST	42.723755	-73.86162
K	42.700407	-73.821244
ER	42.798631	-73.911093
ER	42.714551	-73.799758
SR	42.746202	-73.711371
SR	42.724519	-73.868965
U	42.732632	-73.850516
MF	42.693591	-73.805008
R	42.780322	-73.954762
K	42.735626	-73.702109
K	42.77067	-73.752263
K	42.683608	-73.838649
AS	42.72473	-73.795534
ST	42.692333	-73.814595
ST	42.688383	-73.848183
K	42.683549	-73.840465
ER	42.672958	-73.847681
G	42.683874	-73.840621
R	42.697427	-73.767541
K	42.718773	-73.835146
V	42.794414	-73.886616
K	42.735722	-73.70794
ER	42.767318	-73.867916
K	42.753421	-73.75705
ST	42.789102	-73.937085
SR	42.784079	-73.94578
K	42.799702	-73.947968
ST	42.746402	-73.758474
ST	42.800098	-73.922999
ST	42.762237	-73.79765
WT	42.701936	-73.826584
WT	42.692334	-73.814601
ST	42.782909	-73.906287
K	42.68934	-73.84841
WT	42.775321	-73.88989
ST	42.727926	-73.761241
G	42.719136	-73.803455
U	42.76331	-73.885306
K	42.771194	-73.936641
WT	42.693137	-73.814267
R	42.764194	-73.938697
SR	42.786554	-73.910189
M	42.725073	-73.840683
SR	42.745835	-73.754592
U	42.765304	-73.754189
ST	42.676927	-73.833999
SR	42.689407	-73.850485
ER	42.740309	-73.731537
ST	42.784014	-73.945877
SR	42.748364	-73.868382
R	42.731234	-73.761433
M	42.751563	-73.794133
SR	42.77011	-73.824248
ST	42.727377	-73.76111
R	42.715515	-73.804143
CC	42.695204	-73.878772
V	42.780611	-73.907644
P	42.722291	-73.75695
CC	42.678292	-73.84456
SR	42.703482	-73.745805
CC	42.727312	-73.779685
K	42.768149	-73.915891
V	42.799862	-73.924531
ST	42.757157	-73.769058
V	42.65884	-73.768862
R	42.783657	-73.911331
CC	42.683179	-73.770057
ST	42.731572	-73.849929
H	42.721585	-73.836553
M	42.73049	-73.761916
