occupation	latitude	longitude	zipcode
Bahais_Of_Schenectady	A	42.821906	-73.922305	12308

Western_Union	C	42.648425	-73.772965	12208

Advance_Auto_Parts	C	42.987103	-73.851555	12020

Firestone_Complete_Auto_Care	C	42.661467	-73.769452	12206

Wolff's_Biergarten	B	42.734705	-73.687541	12180

Capital_Region_Women's_Care_Clifton_Park	A	42.878948	-73.772816	12065

Transformational_Beauty_Salon	B	42.694084	-73.722577	12204

Capital_Mobil_Service	C	42.675255	-73.783972	12206

Good_Samaritan_Lutheran_Health_Care_Center	A	42.626365	-73.802502	12054

Va_Hospital_Albany	A	42.651659	-73.772484	12208

Mechanicville_Fire_Department_Station_2_Depot_Square	A	42.904748	-73.692571	12118

Ellis_Nails_&_Spa	B	42.625126	-73.824063	12054

Albany_Strength	B	42.670352	-73.778447	12206

Stewart's_Shops	C	43.046371	-73.849694	12020

Empire_Vision_Center	A	42.861752	-73.770974	12065

Community_Care_Internal_Medicine_Clifton_Park	A	42.878554	-73.772827	12065

Thunderbird_Vending	A	42.73875	-73.685158	12180

Giomebetti_and_Brady_Pediatrics	A	42.628147	-73.815848	12054

Suzuki	C	42.922182	-73.883797	12019

Taste_of_Italy_Pizza	B	42.808491	-73.989057	12306

Hayner's_Ice_Cream_&_Food	B	42.860512	-73.726859	12065

Dino's_Auto_Body	D	42.88504	-73.685684	12118

Varley_Richard_P	C	43.103512	-73.769207	12866

Liberty_Tax_Service	A	42.67964	-73.791173	12206

Walking_The_Walk_Christian_Center	A	42.663672	-73.760402	12206

Shah_Rajnikant_DDS	A	42.797985	-73.994215	12306

Gabby's_Quilts	C	42.700482	-73.720843	12204

McDonald's	B	42.738592	-73.675247	12180

Ashley_Remarketing_Services	C	42.623485	-73.739237	12144

Putnam_Place	A	43.081153	-73.785158	12866

Red_Wolf_Incorporated	C	43.079801	-73.785111	12866

Francesca's	C	43.10202	-73.73796	12866

Luca's	B	42.820558	-73.929191	12308

Ophthalmic_Consultants_Of_The_Captial_Region	A	42.735913	-73.683551	12180

Saratoga_Hospital_Medical_Group_Ear_and_Sinus_Surgery	A	43.104208	-73.743072	12866

The_Tire_Warehouse	C	42.744452	-73.684896	12180

Regeneron_Pharmaceuticals	A	42.625543	-73.737125	12144

Interstate_Vapor	C	42.62299	-73.830118	12054

